id,server_id,user_id,local_workout_id,exercise_id,exercise_name,reps,weight,notes,sort_order,created_at,updated_at,deleted
2591,,REPLACE_WITH_YOUR_USER_ID,18154539741,tricep-pushdown-bar,Tricep Pushdown (Bar),12,41.21.00,,3,1738380437000,1754593316222,0
2592,,REPLACE_WITH_YOUR_USER_ID,18181480432,upright-row-barbell,Barbell Upright Row,15,27.19.00,,3,1738642294000,1754593314323,0
2593,,REPLACE_WITH_YOUR_USER_ID,18154539741,upright-row-barbell,Barbell Upright Row,15,27.19.00,,1,1738380930000,1754593316222,0
2594,,REPLACE_WITH_YOUR_USER_ID,18181480432,hack-squat,Hack Squat Machine,6,70.31.00,,1,1738642688000,1754593314323,0
2595,,REPLACE_WITH_YOUR_USER_ID,18154539741,upright-row-barbell,Barbell Upright Row,15,27.19.00,,2,1738381424000,1754593316222,0
2596,,REPLACE_WITH_YOUR_USER_ID,18181480432,hack-squat,Hack Squat Machine,10,66.15.00,,2,1738642975000,1754593314323,0
2597,,REPLACE_WITH_YOUR_USER_ID,18154539741,upright-row-barbell,Barbell Upright Row,15,27.19.00,,3,1738382000000,1754593316222,0
2598,,REPLACE_WITH_YOUR_USER_ID,18181480432,hack-squat,Hack Squat Machine,8,66.15.00,,3,1738643220000,1754593314323,0
2599,,REPLACE_WITH_YOUR_USER_ID,18154539741,lateral-raise,Lateral Raise,12,18.13,,1,1738382673000,1754593316222,0
2600,,REPLACE_WITH_YOUR_USER_ID,18154539741,lateral-raise,Lateral Raise,12,18.13,,2,1738382993000,1754593316222,0
2601,,REPLACE_WITH_YOUR_USER_ID,18154539741,lateral-raise,Lateral Raise,10,18.13,,3,1738383235000,1754593316222,0
2602,,REPLACE_WITH_YOUR_USER_ID,18154539741,dumbbell-curl,Dumbbell Curl,15,36.31.00,,1,1738383379000,1754593316222,0
2603,,REPLACE_WITH_YOUR_USER_ID,18154539741,dumbbell-curl,Dumbbell Curl,8,38.56.00,,2,1738383880000,1754593316222,0
2604,,REPLACE_WITH_YOUR_USER_ID,18154539741,dumbbell-curl,Dumbbell Curl,8,38.56.00,,3,1738384254000,1754593316222,0
2605,,REPLACE_WITH_YOUR_USER_ID,18154539741,leg-press,Leg Press,8,63.5,,1,1738384403000,1754593316222,0
2606,,REPLACE_WITH_YOUR_USER_ID,18154539741,leg-press,Leg Press,8,68.06.00,,2,1738384672000,1754593316222,0
2607,,REPLACE_WITH_YOUR_USER_ID,18154539741,leg-press,Leg Press,10,68.06.00,,3,1738385130000,1754593316222,0
2608,,REPLACE_WITH_YOUR_USER_ID,18154539741,weighted-crunch,Weighted Crunch,8,57.09.00,,1,1738385562000,1754593316222,0
2609,,REPLACE_WITH_YOUR_USER_ID,18154539741,weighted-crunch,Weighted Crunch,8,54.44.00,,2,1738385960000,1754593316222,0
2610,,REPLACE_WITH_YOUR_USER_ID,18154539741,weighted-crunch,Weighted Crunch,8,54.44.00,,3,1738386307000,1754593316222,0
2611,,REPLACE_WITH_YOUR_USER_ID,18154539741,reverse-curl,Reverse Barbell Curl,20,14.03,,1,1738386562000,1754593316222,0
2612,,REPLACE_WITH_YOUR_USER_ID,18154539741,reverse-curl,Reverse Barbell Curl,18,14.03,,2,1738386882000,1754593316222,0
2613,,REPLACE_WITH_YOUR_USER_ID,18154539741,reverse-curl,Reverse Barbell Curl,20,14.03,,3,1738387310000,1754593316222,0
2614,,REPLACE_WITH_YOUR_USER_ID,18154539741,reverse-wrist-curl,Reverse Wrist Curl,20,45.38.00,,1,1738387467000,1754593316222,0
2615,,REPLACE_WITH_YOUR_USER_ID,18154539741,reverse-wrist-curl,Reverse Wrist Curl,16,45.38.00,,2,1738387618000,1754593316222,0
2616,,REPLACE_WITH_YOUR_USER_ID,18154539741,reverse-wrist-curl,Reverse Wrist Curl,15,45.38.00,,3,1738387818000,1754593316222,0
2617,,REPLACE_WITH_YOUR_USER_ID,18145751799,cable-row,Seated Cable Row,12,72.56.00,,1,1738292332000,1754593318140,0
2618,,REPLACE_WITH_YOUR_USER_ID,18145751799,cable-row,Seated Cable Row,12,72.56.00,,2,1738292854000,1754593318140,0
2619,,REPLACE_WITH_YOUR_USER_ID,18145751799,cable-row,Seated Cable Row,12,72.56.00,,3,1738293339000,1754593318140,0
2620,,REPLACE_WITH_YOUR_USER_ID,18145751799,dumbbell-curl,Dumbbell Curl,10,41.21.00,,1,1738293655000,1754593318140,0
2621,,REPLACE_WITH_YOUR_USER_ID,18145751799,dumbbell-curl,Dumbbell Curl,10,38.56.00,,2,1738294032000,1754593318140,0
2622,,REPLACE_WITH_YOUR_USER_ID,18145751799,dumbbell-curl,Dumbbell Curl,15,36.31.00,,3,1738294350000,1754593318140,0
2623,,REPLACE_WITH_YOUR_USER_ID,18119245206,smith-incline-bench-press,Incline Smith Machine Bench Press,6,61.25.00,,1,1738034509000,1754593327512,0
2624,,REPLACE_WITH_YOUR_USER_ID,18119245206,smith-incline-bench-press,Incline Smith Machine Bench Press,10,57.09.00,,2,1738034826000,1754593327512,0
2625,,REPLACE_WITH_YOUR_USER_ID,18119245206,smith-incline-bench-press,Incline Smith Machine Bench Press,8,59.34.00,,3,1738035318000,1754593327512,0
2626,,REPLACE_WITH_YOUR_USER_ID,18119245206,smith-bench-press,Smith Machine Bench Press,6,70.31.00,,1,1738035692000,1754593327512,0
2627,,REPLACE_WITH_YOUR_USER_ID,18119245206,smith-bench-press,Smith Machine Bench Press,7,68.06.00,,2,1738036255000,1754593327512,0
2628,,REPLACE_WITH_YOUR_USER_ID,18119245206,smith-bench-press,Smith Machine Bench Press,6,68.06.00,,3,1738036466000,1754593327512,0
2629,,REPLACE_WITH_YOUR_USER_ID,18119245206,barbell-bench-press,Barbell Bench Press,10,63.5,,1,1738036849000,1754593327512,0
2630,,REPLACE_WITH_YOUR_USER_ID,18119245206,barbell-bench-press,Barbell Bench Press,10,61.25.00,,2,1738037149000,1754593327512,0
2631,,REPLACE_WITH_YOUR_USER_ID,18119245206,barbell-bench-press,Barbell Bench Press,12,61.25.00,,3,1738037727000,1754593327512,0
2632,,REPLACE_WITH_YOUR_USER_ID,18119245206,lateral-raise,Lateral Raise,12,18.13,,1,1738038131000,1754593327512,0
2633,,REPLACE_WITH_YOUR_USER_ID,18119245206,lateral-raise,Lateral Raise,10,18.13,,2,1738038531000,1754593327512,0
2634,,REPLACE_WITH_YOUR_USER_ID,18119245206,lateral-raise,Lateral Raise,12,18.13,,3,1738038996000,1754593327512,0
2635,,REPLACE_WITH_YOUR_USER_ID,18119245206,reverse-curl,Reverse Barbell Curl,15,14.01,,1,1738038171000,1754593327512,0
2636,,REPLACE_WITH_YOUR_USER_ID,18119245206,reverse-curl,Reverse Barbell Curl,16,14.01,,2,1738038736000,1754593327512,0
2637,,REPLACE_WITH_YOUR_USER_ID,18119245206,reverse-curl,Reverse Barbell Curl,26,14.01,,3,1738039103000,1754593327512,0
2638,,REPLACE_WITH_YOUR_USER_ID,18119245206,upright-row-barbell,Barbell Upright Row,15,23.09,,1,1738039244000,1754593327512,0
2639,,REPLACE_WITH_YOUR_USER_ID,18119245206,upright-row-barbell,Barbell Upright Row,15,23.09,,2,1738039719000,1754593327512,0
2640,,REPLACE_WITH_YOUR_USER_ID,18119245206,upright-row-barbell,Barbell Upright Row,15,23.09,,3,1738040094000,1754593327512,0
2641,,REPLACE_WITH_YOUR_USER_ID,18119245206,tricep-pushdown-bar,Tricep Pushdown (Bar),15,50.28.00,,1,1738040346000,1754593327512,0
2642,,REPLACE_WITH_YOUR_USER_ID,18119245206,tricep-pushdown-bar,Tricep Pushdown (Bar),12,54.44.00,,2,1738040650000,1754593327512,0
2643,,REPLACE_WITH_YOUR_USER_ID,18119245206,tricep-pushdown-bar,Tricep Pushdown (Bar),12,50.28.00,,3,1738040974000,1754593327512,0
2644,,REPLACE_WITH_YOUR_USER_ID,18119245206,leg-press,Leg Press,15,86.19.00,,1,1738041278000,1754593327512,0
2645,,REPLACE_WITH_YOUR_USER_ID,18119245206,leg-press,Leg Press,10,86.19.00,,2,1738041736000,1754593327512,0
2646,,REPLACE_WITH_YOUR_USER_ID,18119245206,leg-press,Leg Press,12,82.03.00,,3,1738042206000,1754593327512,0
2647,,REPLACE_WITH_YOUR_USER_ID,18109708360,cable-row,Seated Cable Row,12,68.06.00,,1,1737937400000,1754593333515,0
2648,,REPLACE_WITH_YOUR_USER_ID,18109708360,cable-row,Seated Cable Row,12,68.06.00,,2,1737937794000,1754593333515,0
2649,,REPLACE_WITH_YOUR_USER_ID,18109708360,cable-row,Seated Cable Row,10,72.56.00,,3,1737937990000,1754593333515,0
2650,,REPLACE_WITH_YOUR_USER_ID,18109708360,dumbbell-curl,Dumbbell Curl,12,41.21.00,,1,1737938604000,1754593333515,0
2651,,REPLACE_WITH_YOUR_USER_ID,18109708360,dumbbell-curl,Dumbbell Curl,10,41.21.00,,2,1737939238000,1754593333515,0
2652,,REPLACE_WITH_YOUR_USER_ID,18109708360,dumbbell-curl,Dumbbell Curl,10,41.21.00,,3,1737939771000,1754593333515,0
